Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
авч	notwithstanding					[sound:1307.mp3]	10765	1307
ерөнхий	general	"Энэ өдөр бид ажлаа үзүүлэх сургууль маягаар хийж, ажлынхаа ерөнхий байдал, ажиллах журмыг хүмүүстээ танилцуулъя гэж Минжий бид хоёр зөвлөлдсөн юм.
- Таныг нэгдлийн зардлаар 
- Миний бодож явааг мэдсэн юм шиг ерөнхий ня-бо маань их л баяртай ирж явлаа.
Улсын бага хурлын дарга Амар, ерөнхий сайд Гэндэн, бүх цэргийн жанжин Дэмид зэрэг хүмүүсийг би анх намын сургуулийн хашаан дотор л үзсэн юмдаг.
Уралдааны ерөнхий шүүгч, комиссын даргад рапорт өгөөд ёс журам бодсон юм байхдаа манайхыг хамгийн эхний гараанд уралдах бригадын нэгд оруулж хөдөл гэж дохио өгөв.
- Ерөнхий бие нь хоёр тийшээ шувтандуу.
- Биеийн ерөнхий байдал гөлгөр бөөрөнхий, зоо нуруу нь суман тэгш байдалтай байна.
- Бичиг зохиол ба уран зохиол нь ерөнхийдөө хүн төрөлхтний бичиг үсгийн эрдэм нээгдсэн цагаас уламжилсан."	төлөвлөгөөний ерөнхий бүдүүвч	the broad outline of the plan	<p>ерөнхий захирагч: general in Chief</p><p>ашгийн ерөнхий норм: general rate of profit</p><p>ерөнхий нарийн бичгийн дарга: the Secretary General</p><p>бизнесийн ерөнхий идэвх: overall business activity</p><p>ерөнхий шинж: generic character</p><p>ерөнхий командлал: command in chief</p><p>төлөвлөгөөний ерөнхий бүдүүвч: the broad outline of the plan</p>	[sound:39425.mp3]	9787	39425
цар	waiter	Нанжин чавга тэргүүтнийг цар гадар дүүргэн тавьжээ.				[sound:122944.mp3]	9319	122944
б	b channel					[sound:9250.mp3]	9245	9250
н	to screw so.					[sound:60320.mp3]	8457	60320
онцгой	special	" Тэр ер нь ийм л жирийн мөртөө 
Хүүхдүүдээсээ онцгой суугаа хоёр хөгшний нэг зөөлхөн мэгшин уйлав."	онцгой хэрэг явдал	a remarkable incident	<p>онцгой тохиолдол: a special occasion</p><p>онцгой шалтгаангүй: no particular reason</p><p>онцгой хэрэг: a particular case</p><p>онцгой амжилт: a singular success</p><p>онцгой тохиолдол: peculiar happenings</p><p>онцгой сонирхлын асуудал: a matter of peculiar interest</p><p>онцгой хэрэг явдал: a remarkable incident</p>	[sound:68435.mp3]	7707	68435
иргэд	citizenry	Ээ дээ түм түмэн иргэд багтаж ядан амьдарч цөхнө.				[sound:52631.mp3]	7490	52631
байдаг	there are					[sound:165272.mp3]	7316	165272
дугаар	issue	"- Утасныхаа дугаарыг хэлээд, яриарай гэсэн гэж байв.
- Ингээд манай дугаар суман фронтод ирэв."	хайрцгийн дугаар	box number	<p>утасны дугаар: a telephone number</p><p>машины дугаар: a car number</p><p>хайрцгийн дугаар: box number</p>	[sound:35107.mp3]	7273	35107
гаруй	more than	"- Би хонины түрүүчээс зуу гаруй хонийг 
Эрдэнэт хотоос өөртөө буурал захтай пальто, авгайдаа өвлийн дэгжин гутал авах гол зорилготой яваагаа ярьж, мянга гаруй төгрөг миний хажууд гарган тоолж байснаа мань хүн мартчихсан бололтой."				[sound:23485.mp3]	7224	23485
ану	usa	Бүгдээр амь насан ану урт болтугай.				[sound:6021.mp3]	7016	6021
дагуу	astride	"Тэр их голын хөвөө дагуу олон мянган хүн байгаа бололтой дуу шуу ч зэгсэн их ажээ.
- Зам дагуу айл амьтангүй.
- Тэр л дагуу нь оролдохгүй бол 
Харин муу ёрын эвгүй зүүдээ их зөв бодолтой, зөв хүнээр заавал 
- Тэдний хүсэл сонирхлынх нь дагуу хуваарилав."	хэлэлцээрийн гуравдугаар зүйл ангийн дагуу	under clause three of the agreement	<p>үлгэрийн дагуу: as per sample</p><p>номын дүрмийн дагуу бол: according to Hoyle</p><p>хуваарийн дагуу: according to schedule</p><p>зохицуулах номын дагуу: according to Hoyle</p><p>номын дүрмийн дагуу бол: according to Hoyle</p><p>хуваарийн дагуу: according to schedule</p><p>зохицуулах номын дагуу: according to Hoyle</p><p>таны зөвлөсний дагуу: pursuant to your instructions</p><p>таны зөвлөсний дагуу: pursuant to your instructions</p><p>зам дагуу явах: to walk along the road</p><p>гэрээний дүрмийн дагуу: under the terms of the contract</p><p>миний гарын үсэг тамгатай баримтын дагуу: under my hand and seal</p><p>хэлэлцээрийн гуравдугаар зүйл ангийн дагуу: under clause three of the agreement</p>	[sound:30240.mp3]	6930	30240
градус	degree		ерэн градусын өнцөг	an angle of ninety degrees	<p>ерэн градусын өнцөг: an angle of ninety degrees</p>	[sound:25756.mp3]	6458	25756
бий	had	- Энд чинь юм үзэх сонсох дуртай хэдэн зуун хүн бий.				[sound:13341.mp3]	6429	13341
үндсэн	basis	"Бас намрын цагт төрөл бүрийн жимс идэж, алд дэлэм гүн газар сэндийлэн ухаж ургамлын үндэс олж иддэг билээ.
Манай хүчин сүрийг дэгдүүлэн үндэс овгийг өргүүлэн 
Эцэг өвгийн үндэс сурвалжийг худалдан …
Хэдэн зуун жилийн турш монгол орон бусдын боол болж үндэс угсаа сөнөхөд хүрч байлаа.
Үр үндэс тасрахгүй.
Чухам энэ нь тэр хоёрын бат бэх үерхлийн үндэс болж өгчээ.
Амарсанаа Хотгойдын ноён Чингүнжавтай хэлэлцэн тохиролцсоны үндсэн дээр манжийн эсрэг бослого гаргажээ."	үндсэн хөг (хөгжмийн)	governing key	<p>үүний үндсэн дээр: on the basis of ...</p><p>дэлхий дахины үнийн үндсэн дээр: on the basis of world prices</p><p>үнэн зөв үндсэн дээр: on an equitable basis</p><p>үндсэн баримт мэдээллийг сайн: to have a good grip of the essential facts</p><p>харилцан итгэлцсэний үндсэн дээр нөхөрлөл тогтоох: to forge a friendship through mutual trust</p><p>үндсэн асуудал: main point</p><p>үндсэн ажил: main (major) occupation</p><p>үндсэн гол шалтгаан: the main reason</p><p>лицензийн үндсэн гэрээ: general license agreement</p><p>үндсэн сэлбэг хэрэгслүүд: general spare parts</p><p>үндсэн хөрөнгө: fixed capital stock</p><p>үндсэн хөрөнгийн бууралт: reduction of capital</p><p>үндсэн хөрөнгийн хөрөнгө оруулалт: fixed capital investments</p><p>нягтлан бодох бүртгэлийн үндсэн хэрэглүүр: underlying instrument of accounting</p><p>нягтлан бодох бүртгэлийн үндсэн төсөөлөл: underlying accounting assumptions</p><p>үндсэн шалтгаан: the ultimate cause</p><p>үндсэн зарчим: radical principle</p><p>үндсэн асуудлууд: radical issues</p><p>үндсэн хоол хүнс: principal food</p><p>үндсэн (нэрлэсэн) дүн: Principal (face) amount</p><p>үндсэн хөг (хөгжмийн): governing key</p><p>үндсэн хөг (хөгжмийн): governing key</p>	[sound:100464.mp3]	6188	100464
гурван	three	"- Гурав хоног дагаж яваад мэдээд ир! гэж Бэлгүтэй Боорчи Зэлмэ гурвыг 
- Энд чинь баатар болох битгий хэл яс арьс хоёр нийлсэн мануухай болмоор газар байна гэж гурав дахь цэрэг өгүүлэв.
Тэр чөтгөрөөс айгаад тийм амархан үхчих эр биш гэхэд гурав дахь хүн:-Оршуулдаг өдрийнх нь урд орой түүнтэй салах ёс гүйцэтгэхээр намайг ороход осолгүй авсанд хэвтэж байсан юм даа.
 Бууж өгөхий? гэж гурав дахь этгээд заналхийлэн уурлав.
Гадаа тэнгэр арилчихсан, сав саруулхан, мичид гурван марал урд дээр тонгойсхийж байв.
Идэр гурван ес дундаа орж, ид хүйт чангарч байсан үе юмсан.
...эх хэлний боловсролыг сайн болгох ажлыг бүр багаас нь эхлэх ёстой.
Өсөхөд шүд нэг цагаан, өтлөхөд үс нэг цагаан, үхсэн хойно яс нэг цагаан. МААЗ., "	гурван хүн сууж байв	three men were seated	<p>гурван жилийн хойно: three years after</p><p>гурван жилийн хугацаанд: for three years</p><p>гурван хүн сууж байв: three men were seated</p>	[sound:26505.mp3]	6114	26505
цахим	electronic	- Үйлдвэрийнхэн цалингаа цахим картаар авдаг болсон нь, нэг талаар санхүүгийн ажилтнуудын ажлыг хөнгөвчилсөн давуу талтай боловч зарим нэг сөрөг үр дагавар байгаа нь цаг зуурын юм.	цахим өгөгдлийн боловсруулалт	electronic data processing	<p>цахим өгөгдлийн боловсруулалт: electronic data processing</p>	[sound:123333.mp3]	6082	123333
бүрэн	quite	"- Алт мөнгө, эрдэнэ сувд, гэр хүрээ, тариа газар бүрнээр цөм хүний болох цаг 
 - Бараа таваар, эд хөрөнгөө бүрэн хураа гэжээ.
- Монгол ба бүрний багш болсон Жавзандамбын гэгээний шавдан бататгах ариун үйлст шавь болсон бүхэн нэмэр хандив оруулах ёстой.
- Цөм үес үест нь бүртгэн оруулж, бүрэн бүтэн болгожээ.
- Их хуралд жирийн нэгэн малчин хоёр удаа бүрэн эрхт төлөөлөгчөөр оролцоно "	агуулахад бараа бүрэн хадгалах	keep goods safe at warehouse	<p>бүрэн цээрлэх: total abstinence</p><p>бүрэн дүүрэн шинэчлэлт: a complete renovation</p><p>бүрэн төгс ялалт: a complete victory</p><p>иж бүрэн тоног төхөөрөмжийн нийлүүлэлт: delivery of complete factory equipment</p><p>ослоос бүрэн бүтэн гэмтэлгүй гарч үлдэх: to emerge entire from the accident</p><p>бүрэн үгүйсгэх: an absolute denial</p><p>бүрэн эрх: plenary powers</p><p>бүрэн хяналтдаа байлгах: hold all the trump cards</p><p>бүрэн дийлэх: beat all hollow</p><p>бүрэн няцаалт: an outright denial</p><p>агуулахад бараа бүрэн хадгалах: keep goods safe at warehouse</p>	[sound:19440.mp3]	6026	19440
хүмүүс	people	"- Бид бүгдийн эх цөм л ийм сайхан хүмүүс байгаа шүү дээ.
- Сүх жанжин өөрөө тэр ангийн хүмүүсийн нэрийг тусгайлан бичиж гаргасан...
 Хичээлийн тэнхимийн нам гүм байдал эгшин зуур хүмүүсийн яриа шуугиан, хөл хөдөлгөөнөөр өөрчлөгдөв.
- Айл аймгийн хүмүүс түүнийг аргалчин Должин гэж нэрлэжээ.
- Сонирхсоор Хүрээний Наймаа хотын зүг явтал, урдаас нь албаны хүмүүс угтан тосож ирэв.
- Анги хороодыг хэсэж жагсаал үйлдүүлэн сайшаал явуулж мөн энэ үед амь үрэгдсэн хүмүүсээ хөдөөлүүлэв.
- Энэ говийн хүмүүс ийм өдөр байтугай, харанхуйд яаж зүг чигээ олж юм үзэж явдаг улс вэ, гэж тэр гайхаж явлаа.
- Бас зарим хүмүүс түүнийг бичиг үсгийн чадвар муутай, хоцрогдож яваа хүн гэж нүүрээс нь далдуур шивнэн ярилцдагийг ч Дорж мэднэ.
- Нутгийн хүмүүс ч түүнийг төлөв томоотой, сэргэлэн цовоо ном эрдэм сайтай хүү гэж хүндэтгэнэ.
- Тэр хоёр бараг л танихгүй хүмүүс шиг л мэндийн зөрөө ч үгүй байдаг байв.
- Ирсэн зочид, хотын хүмүүсээс сонин юм сонсох нь, чиний далан долоон үгнээс чухал байна гэв.
- Харин танайхан тэр эмчээр өвдсөн шархадсан хүмүүсээ эмчлүүлэх хэрэгтэй шүү дээ."	хүлээцтэй хүмүүс	tolerant people	<p>янз бүрийн давхаргын хүмүүс: people of various conditions</p><p>цугласан хүмүүс: a congregation of people</p><p>хүлээцтэй хүмүүс: tolerant people</p>	[sound:117561.mp3]	5766	117561
с	landslide					[sound:74206.mp3]	5760	74206
боломжтой	possible	"- Тэгвэл би танайд нэг 
- Ингэж хамгаалсан бууцыг төлийн дэвсгэрт ашиглах боломжтой байдаг."	ашиглах боломжтой	disposable for service	<p>хэд хэдэн боломжтой шийдийг судалж үзэх: to explore several possible solutions</p><p>жижиг бизнест хөрөнгө оруулах боломжтой санхүүгийн хэрэгслүүд: funds available for the investment in small businesses</p><p>хүсэлтээр хүлээн авах боломжтой: available on request</p><p>оролцох боломжтой ногдол ашгийн хэмжээ: Amount available for participation</p><p>сайжрах боломжтой байдал: a situation capable of improvement</p><p>боломжтой нөхцөл: reasonable terms</p><p>цөмийн энергийг боломжтой байдлаар ашиглах: the potential uses of nuclear energy</p><p>боломжтой эрчим хүч: potential energy</p><p>боломжтой бүх хэрэгслээр хангах: to provide with every facility</p><p>боломжтой бүх аргыг хэрэглэх: use every trick in the book</p><p>ашиглах боломжтой: disposable for service</p>	[sound:14599.mp3]	5738	14599
тохиолдол	happening	Сангийн аж ахуйд ирснээ ч, ингэж яваагаа ч түр зуурын тохиолдол гэж дотроо бат итгэж 	үлгэр жишээ тохиолдол	a classic case	<p>золгүй тохиолдол: infelicitous occasion</p><p>сэтгэл хөдлөм тохиолдол: a delightful occasion</p><p>мартахын аргагүй тохиолдол: an unforgettable occasion</p><p>ховор тохиолдол: infrequent occurrence</p><p>азгүй тохиолдол: an unfortunate occurrence</p><p>өдөр тутмын тохиолдол: an everyday occurrence</p><p>ховор тохиолдол: rare chance</p><p>ховорхон тохиолдолд: on rare occassions</p><p>гэнэтийн тохиолдол: case of emergency</p><p>үлгэр жишээ тохиолдол: a classic case</p>	[sound:87932.mp3]	5661	87932
бүхий	totally	"- Дуу цахилгаан бүхий бороотой онцгой шовх хадан цохио буюу өнчин модны дэргэд адууг байлгахдаа болгоомжлох нь чухал.
- Өнөөдөр үүрэглэн нойрмоглож бүхий бие зүдрэн галирав. "				[sound:19795.mp3]	5569	19795
шаардлагатай	finical	Ашиг хишиг их л авъя гэвэл аль болохоор их усалж байх шаардлагатай юм.	шаардлагатай шинэчлэлийн үндэс суурь	the base of needed reforms	<p>шаардлагатай хугацаа: time necessary</p><p>шаардлагатай чадвар: necessary qualification</p><p>шаардлагатай мэдээллийг эрэн сурвалжлах: to track down the necessary information</p><p>шаардлагатай хэрэгслээр дутах: to lack needed facilities</p><p>шаардлагатай шинэчлэлийн үндэс суурь: the base of needed reforms</p>	[sound:128967.mp3]	5279	128967
г	gamma-type					[sound:21233.mp3]	5247	21233
хөрөнгө	yeast	" Тэдний газар орныг эзэлж, хөрөнгө зөөрийг хураан авахад ёсон бус хэрэг үйлдсэн болохгүй
 Тов хийсэн хөрөнгө малтай түүн дотроо хэдэн сайхан морьтой ер нь золбоотой яваа нь Гүнсэн юм.
Гэвч хөрөнгө хогшил цуглуулна, хожим хойно яах бол гэж амиа бодно гэдэг Лүмбингийн зан огт биш
Эцэг эхийнхээ хөрөнгө чинээ ядуулаг байдлыг"	хөрөнгө эсвэл өр төлбөрийн татварын суурь	tax base of an asset or liability	<p>үл хөдлөх хөрөнгө: real assets (property)</p><p>үндсэн хөрөнгө: non current assets</p><p>тодорхойлогдох цэвэр хөрөнгө: Identifiable net assets</p><p>хөрөнгө олж авах: to gaily a fortune</p><p>хэмжээлшгүй их баялаг хөрөнгө: an enormous fortune</p><p>хувьцааны эрхэд оруулсан хөрөнгө оруулалт: Investments in Stock rights</p><p>хувьцаагаарх хөрөнгө оруулалтын орлого: Revenue from investment in stock</p><p>үндсэн хөрөнгө: fixed capital stock</p><p>гадаадын хөрөнгө ихээр орж ирэх: an influx of foreign capital</p><p>хувь нийлүүлсэн хөрөнгө: joint stock capital</p><p>хөрөнгө оруулалт: placement of funds</p><p>жижиг бизнест хөрөнгө оруулах боломжтой санхүүгийн хэрэгслүүд: funds available for the investment in small businesses</p><p>хөрөнгө цуглуулах компани: drive to raise funds</p><p>өмчилсөн эд хөрөнгө: proprietary wealth</p><p>өв залгамжилсан өмч хөрөнгө: hereditary property</p><p>ашиг олох зорилготой үл хөдлөх хөрөнгө: investment property</p><p>өв хөрөнгө булаацалдах: to fight over inheritance or property</p><p>гадаадын хөрөнгө: foreign (exchange) holding</p><p>өөрийн хөдлөх хөрөнгө: goods and chattels</p><p>гэрлэгсдийн дундын хөрөнгө: goods in communication</p><p>голлох хөрөнгө оруулалт: a principal investment</p><p>хөрөнгө ба хүү: principal and interest</p><p>дутмаг хөрөнгө мөнгө: modest means</p><p>эргэлтийн бус хөрөнгө: non current asset</p><p>хойшлогдсон татварын хөрөнгө: Deferred income tax asset</p><p>хөрөнгө эсвэл өр төлбөрийн татварын суурь: tax base of an asset or liability</p>	[sound:113543.mp3]	5232	113543
хойш	next	"Тэд Алтайн 
 Ноёд лам нарын амар эрж урагш хойш явахад улаа шүүс хэрэглэх, нэжгээд хошоод морийг хошууны ардаас албаар гаргуулдаг.
 Духандаа ор суутал дарсан хумбан хэлбэртэй мөнгөн боолтоо хойш нь болгов
 Холбоот улсад сургууль хийж, намаар хүмүүжсэн улс яалаа гэж ажлаас хойш суух вэ?
Хойш сууж доош малтах санаа байхгүй, гагцхүү улс орондоо сайн санаж ажилласан нь эргэж өөрийн нь аж амьдралд сайн нөлөө болж байгаа хүн бүхэн эгэл жирийн хүний жагсаалд багтах тавилантай ажээ.
- Түүнээс хойш хээр морь Өлзийтийн хээр нэртэй болоод олон жил нутагшиж байна.
Миний охины л сэтгэлд таарснаас хойш боллоо шүү дээ
 Одоо урьдын адил хойшоо сууж ханхалзахгүй.
 Зарим нь “Аль вэ хойшоо, могой алахад модны нэмэргүй” гэх шиг сонсогдов."	борлуулалтын (хүргэлтийн) цэгээс хойш	after the point of sales (delivery)	<p>хойш нь татах: to draw sth. back</p><p>хойш урагш савлах: to flutter back and forth</p><p>борлуулалтын (хүргэлтийн) цэгээс хойш: After the point of sales (delivery)</p>	[sound:109422.mp3]	5208	109422
ажиллагаа	running	"Энэ удаагийн уран 
Зүрхний ажиллагаа сайжруулахад гүйлтийн ач тус их байдаг."	улс төрийн үйл ажиллагаа явуулах байгууллага	action committee	<p>эдийн засгийн үйл ажиллагаа: line of activity</p><p>нууц ажиллагаа: hush-hush work</p><p>компьютер дэмжлэгтэй хамтын ажиллагаа: computer-supported cooperative work</p><p>хос ажиллагаа: up-and-down working</p><p>зүрхний үйл ажиллагаа: the function of the heart</p><p>улс төрийн үйл ажиллагаа явуулах байгууллага: action committee</p>	[sound:2487.mp3]	5164	2487
энэхүү	present	 Хэн нэгэн хүний үр энэхүү сэрүүн сайхан хангайгаа мөрдөн 				[sound:136686.mp3]	5055	136686
бус	other than	"- Хуралд гишүүн бус залуучууд оролцлоо.
 - Маргааш эрт босож үзвээс бус улсын нэгэн ханы газраа модны хөндий дотор 
- Доржийн энэ ер бусын сэтгэл хөөрөн байгааг гайхсан Дугар аль ч учраа олохгүй мэлрэн зогсов."	банкны бус хүрээний төлөөлөгчид	residents other than banks	<p>банкны бус хүрээний төлөөлөгчид: residents other than banks</p><p>инээсэн бүхэн нөхөр бус: all that glitters is not gold</p><p>банкны бус хүрээний төлөөлөгчид: residents other than banks</p>	[sound:17881.mp3]	5018	17881
тусгай	special	"Онон мөрний буриад хамниганчууд хожмоо Онон голын хошуу хэмээх тусгай хошуу 
Захирагч Хишигтийн бие, хошууны элдэв хэрэгт тусгай зүтгэсэн хуучин түшмэл хэмээнэ.
Тусгай комиссын гишүүдэд ерөнхий сайд Бодоо, Төв хорооны дарга Данзан, Бүх цэргийн жанжин Сүхбаатар, Бэгзжав нарыг тус тус "	бүтээн босголттой холбоотой тусгай өрүүд	specific construction debt	<p>тусгай элч: a special messenger</p><p>гэрэлтүүлгийн тусгай хэрэгсэл: special lighting effects</p><p>зээлжих тусгай эрх: special drawing rights SDR</p><p>тусгай багцаар: under separate cover</p><p>тусгай хэсгүүд: separate parts</p><p>тусгай дугтуйнд: under separate cover</p><p>тусгай тэмдэглэгээний арга: Specific identification method</p><p>тусгай зорилго: specific aims</p><p>бүтээн босголттой холбоотой тусгай өрүүд: Specific construction debt</p>	[sound:90123.mp3]	4958	90123
илүү	more	"Шөнө ирээд илүү гэрт юмуу, хаа тохиолдсон газраа унтана.
Танайх илүү орон тоотой байна.
Илүү орон тоонд хүн авч ажиллуул!
Над илүү хөрөнгө байхгүй, гэхдээ хамгийн цагаан сэтгэлээс чамд өгч байна.
Илүү дутуу юм чалчсан байвал уу! гэж Дулмаа хэлэв.
Илүү дутуу идэх юм хоол ундны зүйлээр би цаг үргэлж тодруулан нэг их өлсөж байхаа болилоо.
Эцэг өвгөөс үлдсэн өв хөрөнгөөрөө хувьдаа болж явдаг тул илүү дутуу хардаггүй амгалан тайван хүн байлаа.
Бултын жаргал илүү дутуугүй тэгш.
Үнэндээ улсын энэ чухал ажилд нөгөө муу Дашравдан нь ингэж явдаг нь илүү зан шүү дээ.
Илүү үзэж, хялдайж ч хардаггүй болсон.
Илүү хэлсэн үг явцгүй.
Харин аманцар манаачийн илүү үг энэ удаа мань залууд гай тотгор тарьчихжээ.
Үсэг бичиг нэгтэйгээрээ Японд явуулах нь арай илүү бололтой.
Энэ хорвоо ертөнцөд хүмүүсийн амьдрах ёсыг би бусдаас илүү мэдсэн мэт санагдан заводын даргыг дуурайн ихэмсэгээр хоолойгоо засаж явсан санагдана.
Үзэгдэх царай чинь энгийн боловч үлгэрийн дагинаас илүү дээ хөө."	бүтэн хагас илүү	half as much again	<p>илүү их анхаарал хандуулах: to concentrate more</p><p>илүү их зай шаардах: to require more space</p><p>зөвлөгөөнд илүү болгоомжтой хандах: to be more heedful of advice</p><p>илүү мөнгө: extra money</p><p>илүү цагийн хөлс төлөх: to pay extra for overtime</p><p>илүү цагийн хөлсийг авах: to be paid extra for overtime</p><p>олсноосоо илүү зарцуулах: live beyond one's means</p><p>илүү сайн тоглох: to play better</p><p>үйл ажиллагааны илүү сайн чиглэл: a better course of action</p><p>илүү сайн тоглогчид: the better players</p><p>илүү ашгийн татвар: excess profits duty</p><p>илүү төлсөн дүнг нөхөн олгох: refund the excess amounts paid</p><p>илүү түлхүүр: a duplicate set of keys</p><p>илүү аятайхан болгох: smooth sth. over</p><p>илүү их болгоомжтойгоор: (go over with a) fine-toothed comb</p><p>бүтэн хагас илүү: half as much again</p>	[sound:52027.mp3]	4881	52027
гарч	pass					[sound:23522.mp3]	4606	23522
шинжилгээ	research	" Галавын барагдашгүй баян ашиг хишигтэй ганган улаан тэмээний тухай судалгаа шинжилгээний их ажилд ч урь орж байна.
 Байшингийн булан дахь хураалттай ном, өрөөний гол дахь том ширээн дээрх элдэв бичиг цаас эрдэм шинжилгээний ажилд хэрэглэдэг байх гэмээр байв.
 Хурандаа "	патентын эрхийн шинжилгээ	examination as to patentability	<p>рентген шинжилгээ: radiological exploration</p><p>бичил дурангийн шинжилгээ: microscopic investigation</p><p>үндэслэлтэй шинжилгээ: a just analysis</p><p>ня-бо бүртгэлийн тайлангийн шинжилгээ: analysis of accounting records</p><p>бүрэн төгс шинжилгээ: a thorough analysis</p><p>магадлан шинжилгээ хийх: carry out an examination</p><p>шинэ зүйлийн шинжилгээ: examination as to novelty</p><p>патентын эрхийн шинжилгээ: examination as to patentability</p>	[sound:132288.mp3]	4605	132288
